label,ax,ay,az,gx,gy,gz
0,11260,-9040,8488,4308,-14306,-1467
0,12928,-8524,6204,3492,-4870,-489
0,12752,-7204,8300,4144,-5942,95
0,14392,-6776,5528,3522,-10198,5013
0,14312,-9136,3816,-252,-8244,9043
0,12784,-10688,2068,-2571,-1292,6308
0,11892,-12108,3144,-2139,2133,1519
0,12008,-11728,1940,-2996,2867,4667
0,10132,-13380,2824,-3371,8760,1567
0,9352,-12772,4108,-4450,14731,1557
0,9404,-13352,3156,-3276,20331,943
0,5744,-13636,7248,-1670,22619,-4523
0,7428,-13736,7240,169,4678,-1518
0,6264,-13532,8580,1442,10416,-3495
0,4960,-12864,9952,1449,3038,-11705
0,7576,-10164,9696,1767,5085,-15393
0,10372,-8220,11084,3161,-3058,-10079
0,11456,-6948,8988,536,-1122,-5512
0,11568,-6692,10892,4527,-9367,2444
0,12256,-7260,8324,1111,-2102,3365
0,11860,-7100,9804,2748,-4545,1638
0,12896,-7376,7236,576,-2144,4291
0,12748,-7760,8048,1743,-3721,4081
0,12020,-8656,7300,1646,-4338,4796
0,12176,-8508,7760,2174,-3903,2587
0,12044,-9344,5856,2146,-9907,3984
0,13852,-8876,5540,1340,-2405,661
0,12132,-9796,4940,172,-4253,3859
0,13324,-9920,4188,995,-170,3678
0,10316,-11384,5200,-1347,7057,8141
0,9920,-12408,5284,1029,6363,3254
0,8356,-12292,5192,1018,6360,1458
0,8836,-11920,7544,3076,-4528,244
0,7816,-11700,8024,2661,-8351,1140
0,9020,-13624,7460,3079,-26875,3762
0,9896,-12808,4524,4774,-18503,3817
0,10672,-11828,2256,1574,-8315,1408
0,10408,-12680,-484,1579,-24597,5223
0,10408,-14340,-2176,-5076,3717,2462
0,7104,-13808,556,-4757,16319,-3233
0,10252,-14328,-4776,-1755,22002,-1307
0,9932,-13636,748,4763,27417,2729
0,6384,-13280,6884,-625,7834,2320
0,9272,-13180,5320,433,4960,-2714
0,10156,-13520,3888,719,11313,1037
0,8164,-13868,6500,1494,7238,1343
0,6868,-13700,6320,-1686,1722,523
0,7364,-13608,6588,-242,2632,-1485
0,7380,-13036,7064,-975,2705,796
0,8696,-13812,6624,577,9479,-327
0,5212,-13180,8240,-3180,8601,3518
0,4924,-15108,6376,-1199,5993,4265
0,2452,-13972,6888,-1401,-1020,4064
0,2088,-16016,7080,-432,-6064,1577
0,2812,-13928,7984,-951,-155,753
0,3596,-15184,8180,-234,1642,-2309
0,2252,-14184,7504,-2018,3477,1494
0,2036,-14948,6828,803,4211,397
0,1332,-14696,7508,-407,3714,1279
0,1840,-14400,8324,-82,4963,833
0,796,-14672,7308,-3165,284,-1865
0,2428,-13984,5180,266,2357,-594
0,296,-14324,6460,-982,1143,1736
0,1572,-14656,6812,51,4177,1862
0,1172,-14196,5252,-3867,-2633,5816
0,-1264,-15284,5832,-2813,1998,4830
0,-2468,-15436,3708,-2139,-1867,1759
0,-1476,-15088,5112,3437,2684,676
0,-2732,-14356,6620,-203,-681,216
0,-1512,-14764,4560,1249,-4038,-2608
0,-1092,-15016,7812,4188,-1104,-6757
0,2292,-14352,8004,4121,-1809,-8771
0,2396,-13808,7816,3112,-3094,-8293
0,5976,-12892,8052,3334,-3603,-5708
0,6828,-11616,9300,1847,-63,-2698
0,6304,-11348,10308,938,-1249,-2601
0,7200,-11936,8848,1615,-1183,-3276
0,7708,-10588,10464,2060,-1248,-3161
0,8400,-10764,9300,967,-586,-1250
0,8676,-9572,10192,6,-663,238
0,7272,-10796,10080,-1412,933,1131
0,6024,-11504,10416,-1685,-1850,574
0,8976,-11064,8396,2724,853,-3762
0,8116,-10232,10700,5353,-4994,-4182
0,9248,-8688,6668,3836,-8451,-3641
0,12148,-6072,9072,11437,-4088,-11966
0,14460,-36,11956,9150,-4383,-13409
0,15724,1132,12172,475,725,-1544
0,13640,-828,8432,-2266,938,1797
0,12820,-2108,9420,2324,-1339,142
0,13432,-684,9344,2052,869,-952
0,13980,1076,11532,719,102,-1284
0,13656,-576,9296,-910,1805,-32
0,14128,-72,9000,-24,-357,893
0,14332,-188,9608,-489,-1018,2580
0,13452,-1592,8476,-1511,-1846,3989
0,13008,-2364,8168,-1402,4293,493
0,11972,-1140,9528,-2090,-1193,-1852
0,12960,-1592,9472,-1242,499,-6629
0,14248,-928,9652,-1276,1987,-4020
0,14252,-900,8932,-874,-104,-3128
0,15032,720,7748,5536,-11090,-1881
0,14788,1064,9588,-1856,2954,-973
0,16088,52,7336,-3024,544,-893
0,14076,-416,5512,2395,-2606,-4634
0,14140,-3000,12208,5514,-10895,-276
0,16096,984,6192,756,-5847,-307
0,14112,3136,5972,1472,-4779,-3275
